latitude,longitude,timestamp
-17.8464,169.8816,1769258798
-18.1646,170.1424,1769258805
-18.5556,170.465,1769258813
-18.8973,170.7485,1769258820
-19.214,171.0129,1769258827
-19.6031,171.3398,1769258835
-21.2725,172.7702,1769258869
-21.6094,173.0646,1769258876
-21.9218,173.3395,1769258883
-22.2576,173.6369,1769258890
-22.7121,174.0431,1769258899
-23.07,174.3658,1769258907
-23.3796,174.647,1769258913
-23.7122,174.9514,1769258920
-24.0915,175.3014,1769258928
-24.4226,175.6095,1769258935
-24.7293,175.8972,1769258942
-25.0592,176.2089,1769258949
-25.4116,176.5449,1769258956
-25.7395,176.8603,1769258963
-26.3937,177.4976,1769258977
-26.6959,177.7958,1769258984
-27.0669,178.1652,1769258992
-27.3904,178.4905,1769258999
-27.737,178.8423,1769259006
-28.1047,179.2195,1769259014
-28.4264,179.5528,1769259021
-28.746,179.8871,1769259029
-29.1782,-179.6555,1769259038
-30.7323,-177.9581,1769259073
-31.709,-176.8451,1769259095
-32.0174,-176.4856,1769259102
-32.3026,-176.1496,1769259108
-32.7612,-175.6018,1769259119
-33.0872,-175.2066,1769259126
-33.39,-174.835,1769259133
-33.6918,-174.4604,1769259140
-33.992,-174.0832,1769259147
-34.2696,-173.7304,1769259154
-35.7222,-171.815,1769259188
-36.1367,-171.2459,1769259198
-36.4045,-170.8724,1769259205
-36.8136,-170.2926,1769259215
-37.1385,-169.8241,1769259223
-37.421,-169.4106,1769259230
-38.7892,-167.3219,1769259265
-39.0615,-166.8879,1769259272
-39.3318,-166.4504,1769259279
-39.7148,-165.8191,1769259289
-40.0749,-165.2124,1769259298
-40.376,-164.6952,1769259306
-40.6182,-164.2722,1769259313
-40.877,-163.813,1769259320
-41.1338,-163.3499,1769259327
-41.4789,-162.7155,1769259336
-41.7307,-162.2432,1769259343
-42.0156,-161.6989,1769259351
-42.3502,-161.0456,1769259361
-42.6978,-160.3501,1769259371
-42.9384,-159.8582,1769259378
-43.1596,-159.3979,1769259384
-43.3954,-158.8982,1769259391
-43.63,-158.3919,1769259398
-43.9427,-157.7016,1769259408
-44.1701,-157.1882,1769259415
-44.3949,-156.6705,1769259422
-45.0841,-155.0161,1769259444
-45.2979,-154.4805,1769259451
-45.5834,-153.7474,1769259461
-45.7903,-153.2022,1769259468
-45.9944,-152.6527,1769259475
-46.1813,-152.1384,1769259481
-47.1292,-149.3485,1769259516
-47.338,-148.6871,1769259524
-47.5046,-148.1456,1769259530
-47.7553,-147.3056,1769259540
-47.9267,-146.7126,1769259547
-48.1067,-146.0724,1769259555
-48.2943,-145.3846,1769259563
-48.5224,-144.5175,1769259573
-48.6667,-143.9496,1769259579
-48.8829,-143.0689,1769259589
-49.0504,-142.359,1769259597
-49.1831,-141.7778,1769259604
-49.3615,-140.9681,1769259613
-49.5616,-140.0163,1769259623
-49.6902,-139.3773,1769259630
-49.8324,-138.6431,1769259638
-49.9946,-137.7652,1769259648
-50.1095,-137.1144,1769259655
-50.2667,-136.179,1769259665
-50.3719,-135.5205,1769259672
-50.6691,-133.48,1769259694
-51.0831,-129.9599,1769259730
-51.1583,-129.1801,1769259738
-51.2403,-128.2506,1769259748
-51.303,-127.4654,1769259756
-51.3533,-126.7765,1769259763
-51.396,-126.1351,1769259769
-51.4378,-125.4435,1769259776
-51.4825,-124.602,1769259785
-51.5122,-123.9573,1769259791
-51.5436,-123.1628,1769259799
-51.5647,-122.5165,1769259806
-51.5855,-121.7204,1769259814
-51.6004,-120.9231,1769259822
-51.6094,-120.1259,1769259830
-51.6124,-119.4779,1769259836
-51.6108,-118.6803,1769259844
-51.6039,-117.9327,1769259852
-51.5929,-117.2352,1769259859
-51.5693,-116.2382,1769259869
-51.5473,-115.5419,1769259876
-51.5229,-114.8961,1769259882
-51.4573,-113.5078,1769259897
-51.2199,-110.1087,1769259931
-51.1633,-109.473,1769259938
-51.0933,-108.7412,1769259945
-51.0234,-108.0604,1769259952
-50.9548,-107.4304,1769259959
-50.7944,-106.0803,1769259973
-50.7079,-105.4089,1769259980
-50.5837,-104.5022,1769259989
-50.4448,-103.5532,1769259999
-50.3426,-102.8924,1769260006
-50.2363,-102.2346,1769260013
-50.134,-101.6266,1769260020
-50.0199,-100.9748,1769260027
-49.9018,-100.3261,1769260034
-49.771,-99.6351,1769260041
-49.5896,-98.72,1769260051
-49.458,-98.0837,1769260058
-49.2732,-97.2256,1769260068
-49.0713,-96.3302,1769260078
-48.9254,-95.7077,1769260085
-48.7759,-95.0892,1769260092
-48.5672,-94.2558,1769260101
-48.3404,-93.3867,1769260111
-48.1775,-92.7831,1769260118
-48.011,-92.1837,1769260126
-47.8534,-91.6306,1769260132
-47.6554,-90.9548,1769260140
-47.4786,-90.3679,1769260147
-47.2334,-89.5779,1769260157
-47.0489,-89.0009,1769260164
-46.861,-88.4272,1769260171
-46.6427,-87.7778,1769260179
-46.4343,-87.1738,1769260186
-46.2225,-86.5749,1769260194
-46.0217,-86.0202,1769260201
-45.2957,-84.1124,1769260225
-45.0819,-83.5768,1769260232
-44.7716,-82.8191,1769260242
-44.5511,-82.2937,1769260249
-44.2476,-81.5874,1769260259
-43.9882,-80.9986,1769260267
-43.7586,-80.488,1769260274
-43.4428,-79.8015,1769260283
-43.1056,-79.0872,1769260293
-42.3462,-77.5446,1769260315
